,CreationDate,Title,Tags
6317,2018-12-16 08:08:12.657,,
6318,2018-12-16 08:53:51.527,,
6319,2018-12-16 09:23:27.810,How to tell if preserved chillis are still good?,food-preservation
6319,2018-12-16 09:23:27.810,How to tell if preserved chillis are still good?,chili-peppers
6320,2018-12-16 10:07:50.013,,
6321,2018-12-16 11:01:46.073,,
6322,2018-12-16 12:35:54.713,,
6323,2018-12-16 13:10:36.380,,
6324,2018-12-16 13:13:48.450,,
6325,2018-12-16 13:25:04.253,,
6326,2018-12-16 15:26:43.373,Season rice in Zojirushi,seasoning
6326,2018-12-16 15:26:43.373,Season rice in Zojirushi,rice-cooker
6327,2018-12-16 15:52:12.137,,
6328,2018-12-16 16:25:06.190,Substituting xanthan gum for flour,substitutions
6329,2018-12-16 18:00:02.357,,
6330,2018-12-16 18:21:27.373,,
6331,2018-12-16 18:29:59.660,,
6332,2018-12-16 19:47:16.807,How to slow down evaporation when cooking?,tea
6332,2018-12-16 19:47:16.807,How to slow down evaporation when cooking?,boiling
6332,2018-12-16 19:47:16.807,How to slow down evaporation when cooking?,water
6333,2018-12-16 19:55:53.357,,
6334,2018-12-16 20:04:39.837,,
6335,2018-12-16 20:10:44.880,,
6336,2018-12-16 20:10:50.013,,
6337,2018-12-16 20:54:55.407,,
6338,2018-12-16 21:31:08.993,,
6339,2018-12-16 21:36:28.530,How to get uniform sized biscotti?,italian-cuisine
6339,2018-12-16 21:36:28.530,How to get uniform sized biscotti?,biscuits
6340,2018-12-16 22:17:36.973,,
6341,2018-12-16 22:18:29.967,What are these chocolate meringues called?,chocolate
6341,2018-12-16 22:18:29.967,What are these chocolate meringues called?,meringue
6342,2018-12-16 23:19:38.760,,
6343,2018-12-17 02:10:36.183,Substitution for marjoram in beef birria,substitutions
6343,2018-12-17 02:10:36.183,Substitution for marjoram in beef birria,spices
6344,2018-12-17 03:09:57.137,,
6345,2018-12-17 06:49:26.287,,
6346,2018-12-17 06:58:45.483,"Do I use half as much ""double concentrated"" tomato paste?",substitutions
6346,2018-12-17 06:58:45.483,"Do I use half as much ""double concentrated"" tomato paste?",food-science
6346,2018-12-17 06:58:45.483,"Do I use half as much ""double concentrated"" tomato paste?",tomatoes
6347,2018-12-17 08:34:51.407,,
6348,2018-12-17 08:48:39.553,,
6349,2018-12-17 10:24:51.643,,
6350,2018-12-17 11:58:54.540,,
6351,2018-12-17 12:13:12.643,,
6352,2018-12-17 12:27:07.277,,
6353,2018-12-17 12:46:30.420,,
6354,2018-12-17 12:55:07.333,Can I saute in one pan and bake in another?,chicken
6354,2018-12-17 12:55:07.333,Can I saute in one pan and bake in another?,pan
6354,2018-12-17 12:55:07.333,Can I saute in one pan and bake in another?,sauteing
6355,2018-12-17 13:39:58.397,,
6356,2018-12-17 13:42:32.987,Reheating Falafel without drying them out,reheating
6357,2018-12-17 13:54:07.400,,
6358,2018-12-17 14:20:13.077,,
6359,2018-12-17 14:47:59.580,,
6360,2018-12-17 15:16:33.503,How to pound chicken breasts without a meat tenderizer?,equipment
6360,2018-12-17 15:16:33.503,How to pound chicken breasts without a meat tenderizer?,chicken-breast
6360,2018-12-17 15:16:33.503,How to pound chicken breasts without a meat tenderizer?,tenderizing
6361,2018-12-17 15:43:40.103,,
6362,2018-12-17 16:06:57.187,,
6363,2018-12-17 16:39:08.937,,
6364,2018-12-17 17:35:16.613,,
6365,2018-12-17 17:36:33.007,,
6366,2018-12-17 19:14:23.603,,
6367,2018-12-17 19:32:27.833,,
6368,2018-12-17 20:23:08.050,,
6369,2018-12-17 21:33:24.243,,
6370,2018-12-17 21:50:13.277,,
6371,2018-12-17 22:00:54.143,I want to make normal sandwich bread. What's the yeast called in an Italian supermarket?,baking
6372,2018-12-17 22:02:13.547,My Russian Teacakes are too crumbly,cookies
6373,2018-12-17 22:12:53.377,,
6374,2018-12-17 22:46:54.563,Can't find frozen cranberries anywhere. Can I use fresh instead in my cake recipe?,substitutions
6374,2018-12-17 22:46:54.563,Can't find frozen cranberries anywhere. Can I use fresh instead in my cake recipe?,frozen
6374,2018-12-17 22:46:54.563,Can't find frozen cranberries anywhere. Can I use fresh instead in my cake recipe?,cranberries
6375,2018-12-17 22:48:07.963,,
6376,2018-12-17 23:20:37.543,Why is the pasta often cooked in the sauce in al'arrabiata recipes?,pasta
6377,2018-12-17 23:38:52.517,,
6378,2018-12-17 23:43:38.430,,
6379,2018-12-18 00:04:31.840,,
6380,2018-12-18 00:11:04.907,,
6381,2018-12-18 00:20:35.457,,
6382,2018-12-18 02:13:55.430,Puff pastry chocolate tart?,chocolate
6382,2018-12-18 02:13:55.430,Puff pastry chocolate tart?,puff-pastry
6383,2018-12-18 03:13:46.203,Canning Chili Sauce,canning
6383,2018-12-18 03:13:46.203,Canning Chili Sauce,chili
6384,2018-12-18 03:29:04.900,,
6385,2018-12-18 03:38:29.613,,
6386,2018-12-18 04:03:57.763,Substituting meyer lemons for sour oranges,substitutions
6386,2018-12-18 04:03:57.763,Substituting meyer lemons for sour oranges,citrus
6387,2018-12-18 05:03:40.567,How to make Brie En Croute less rich/cheesy?,baking
6387,2018-12-18 05:03:40.567,How to make Brie En Croute less rich/cheesy?,cheese
6387,2018-12-18 05:03:40.567,How to make Brie En Croute less rich/cheesy?,puff-pastry
6387,2018-12-18 05:03:40.567,How to make Brie En Croute less rich/cheesy?,brie
6388,2018-12-18 07:32:19.087,,
6389,2018-12-18 08:23:12.053,,
6390,2018-12-18 11:05:43.387,,
6391,2018-12-18 11:15:56.007,,
6392,2018-12-18 15:18:46.853,,
6393,2018-12-18 15:46:04.753,I refrigerated fresh baked chocolate chip cookies over night. Will they recover?,chocolate
6393,2018-12-18 15:46:04.753,I refrigerated fresh baked chocolate chip cookies over night. Will they recover?,cookies
6393,2018-12-18 15:46:04.753,I refrigerated fresh baked chocolate chip cookies over night. Will they recover?,refrigerator
6394,2018-12-18 15:54:11.263,,
6395,2018-12-18 17:32:06.813,,
6396,2018-12-18 17:46:51.837,Is there a machine for thick shredded carrots for home use (not grated)?,equipment
6396,2018-12-18 17:46:51.837,Is there a machine for thick shredded carrots for home use (not grated)?,food-processing
6397,2018-12-18 18:48:57.623,,
6398,2018-12-18 19:45:37.613,,
6399,2018-12-18 20:07:26.343,,
6400,2018-12-18 20:45:33.697,,
6401,2018-12-18 21:42:12.943,,
6402,2018-12-18 22:32:01.300,,
6403,2018-12-18 22:32:31.660,How to make crescent rolls soft and fluffy?,baking
6403,2018-12-18 22:32:31.660,How to make crescent rolls soft and fluffy?,rolls
6404,2018-12-18 23:58:49.390,,
6405,2018-12-19 00:11:07.933,,
6406,2018-12-19 00:17:14.270,,
6407,2018-12-19 03:21:25.440,,
6408,2018-12-19 03:56:54.097,,
6409,2018-12-19 06:04:56.963,,
6410,2018-12-19 10:28:05.297,,
6411,2018-12-19 13:30:55.257,,
6412,2018-12-19 18:58:15.283,,
6413,2018-12-19 21:45:32.923,,
6414,2018-12-19 22:06:49.440,,
6415,2018-12-20 00:00:15.237,Butterscotch Pie setting,pie
6415,2018-12-20 00:00:15.237,Butterscotch Pie setting,filling
6416,2018-12-20 00:30:20.610,,
6417,2018-12-20 02:30:25.783,,
6418,2018-12-20 02:56:52.223,Quick breads in foil pans,baking
6418,2018-12-20 02:56:52.223,Quick breads in foil pans,bread
6419,2018-12-20 02:59:51.957,,
6420,2018-12-20 05:43:27.127,,
6421,2018-12-20 09:53:59.520,,
6422,2018-12-20 10:28:26.160,"How can I stop my pavlova from ""leaking""?",meringue
6423,2018-12-20 11:53:40.207,Is eggnog just a milkshake?,language
6423,2018-12-20 11:53:40.207,Is eggnog just a milkshake?,dairy
6423,2018-12-20 11:53:40.207,Is eggnog just a milkshake?,beverages
6423,2018-12-20 11:53:40.207,Is eggnog just a milkshake?,classification
6423,2018-12-20 11:53:40.207,Is eggnog just a milkshake?,seasonal
6424,2018-12-20 12:23:39.400,,
6425,2018-12-20 12:26:11.253,,
6426,2018-12-20 12:36:38.890,,
6427,2018-12-20 12:52:27.810,,
6428,2018-12-20 14:21:06.623,,
6429,2018-12-20 16:58:51.077,,
6430,2018-12-20 18:24:33.863,,
6431,2018-12-20 18:53:00.613,,
6432,2018-12-20 18:53:00.613,,
6433,2018-12-20 19:10:57.610,How can I reduce the pungent odor of split pea soup?,soup
6434,2018-12-20 19:43:18.943,,
6435,2018-12-20 22:54:39.697,Is there a resource on food prep times for labor costing?,cost
6436,2018-12-21 00:19:41.020,,
6437,2018-12-21 00:21:06.757,,
6438,2018-12-21 01:36:08.417,,
6439,2018-12-21 06:09:42.737,Way too much lemon in my basting liquid,pork
6439,2018-12-21 06:09:42.737,Way too much lemon in my basting liquid,lemon
6439,2018-12-21 06:09:42.737,Way too much lemon in my basting liquid,greek-cuisine
6440,2018-12-21 08:46:41.863,,
6441,2018-12-21 08:53:02.580,,
6442,2018-12-21 09:17:55.323,,
6443,2018-12-21 09:54:03.587,,
6444,2018-12-21 12:19:46.280,,
6445,2018-12-21 13:51:27.823,,
6446,2018-12-21 15:37:45.550,Chicken and Dumplings soaked up all the broth,chicken
6446,2018-12-21 15:37:45.550,Chicken and Dumplings soaked up all the broth,broth
6446,2018-12-21 15:37:45.550,Chicken and Dumplings soaked up all the broth,dumplings
6447,2018-12-21 17:14:04.303,,
6448,2018-12-21 17:57:06.870,Substitute for Accent Seasoning,substitutions
6449,2018-12-21 18:08:55.503,Can a steak be deep fried in clarified butter?,butter
6449,2018-12-21 18:08:55.503,Can a steak be deep fried in clarified butter?,steak
6449,2018-12-21 18:08:55.503,Can a steak be deep fried in clarified butter?,deep-frying
6450,2018-12-21 18:15:10.767,,
6451,2018-12-21 18:19:12.577,,
6452,2018-12-21 18:27:31.203,,
6453,2018-12-21 23:24:08.917,Warming up soup in crockpot,food-safety
6454,2018-12-22 00:36:58.500,Caramel without stirring or burning,candy
6454,2018-12-22 00:36:58.500,Caramel without stirring or burning,caramel
6455,2018-12-22 03:23:49.990,,
6456,2018-12-22 10:32:28.280,,
6457,2018-12-22 11:53:07.423,,
6458,2018-12-22 14:26:59.310,What does it mean to overmix?,mixing
6459,2018-12-22 14:39:15.870,,
6460,2018-12-22 14:51:40.180,,
6461,2018-12-22 15:59:48.307,,
6462,2018-12-22 16:35:31.513,,
6463,2018-12-22 17:37:53.733,,
6464,2018-12-22 18:47:28.960,How big of a roast do I need,raw-meat
6465,2018-12-22 18:56:19.297,,
6466,2018-12-22 19:26:25.967,,
6467,2018-12-22 21:26:01.213,,
6468,2018-12-22 21:31:44.773,Samovar Tea: Let it brew the whole day?,tea
6469,2018-12-22 21:35:51.373,,
6470,2018-12-23 02:30:44.837,,
6471,2018-12-23 15:41:47.007,Accidentally froze my fresh mussels,food-safety
6472,2018-12-23 15:46:11.547,,
6473,2018-12-23 16:06:47.490,,
6474,2018-12-23 16:15:49.100,,
6475,2018-12-23 17:15:13.737,"Can poulet noir be prepared as standard chicken, or is there anything special to consider?",chicken
6475,2018-12-23 17:15:13.737,"Can poulet noir be prepared as standard chicken, or is there anything special to consider?",oven
6476,2018-12-23 18:11:25.717,,
6477,2018-12-23 19:17:18.983,Please identify this Italian kettle(?),equipment
6478,2018-12-23 20:09:17.913,,
6479,2018-12-23 21:17:38.360,,
6480,2018-12-23 22:13:15.627,,
6481,2018-12-23 22:48:00.083,,
6482,2018-12-23 23:32:26.847,,
6483,2018-12-24 04:01:20.890,Making Tuiles in a frying pan?,cookies
6484,2018-12-24 07:45:39.177,,
6485,2018-12-24 08:21:20.190,Cooking more than one meat - will I have to adjust my cooking time?,pork
6485,2018-12-24 08:21:20.190,Cooking more than one meat - will I have to adjust my cooking time?,roasting
6485,2018-12-24 08:21:20.190,Cooking more than one meat - will I have to adjust my cooking time?,lamb
6486,2018-12-24 13:43:31.763,,
6487,2018-12-24 14:16:35.503,"Can I still use my oven, even if it has melted aluminum foil stuck to the bottom?",equipment
6487,2018-12-24 14:16:35.503,"Can I still use my oven, even if it has melted aluminum foil stuck to the bottom?",oven
6487,2018-12-24 14:16:35.503,"Can I still use my oven, even if it has melted aluminum foil stuck to the bottom?",kitchen-safety
6488,2018-12-24 16:06:39.253,,
6489,2018-12-24 17:13:08.307,,
6490,2018-12-24 19:39:35.803,,
6491,2018-12-24 20:44:28.190,Christmas-ifying seafood linguine,substitutions
6491,2018-12-24 20:44:28.190,Christmas-ifying seafood linguine,seafood
6491,2018-12-24 20:44:28.190,Christmas-ifying seafood linguine,seasonal
6492,2018-12-24 21:08:53.747,,
6493,2018-12-24 21:26:29.227,Can you thaw frozen cookies in a tin without them getting soggy as a result?,freezing
6493,2018-12-24 21:26:29.227,Can you thaw frozen cookies in a tin without them getting soggy as a result?,cookies
6493,2018-12-24 21:26:29.227,Can you thaw frozen cookies in a tin without them getting soggy as a result?,thawing
6494,2018-12-24 22:58:34.023,,
6495,2018-12-24 23:09:38.303,,
6496,2018-12-25 00:05:43.097,How can I roast/heat all these foods for one meal?,temperature
6496,2018-12-25 00:05:43.097,How can I roast/heat all these foods for one meal?,vegetables
6496,2018-12-25 00:05:43.097,How can I roast/heat all these foods for one meal?,oven
6496,2018-12-25 00:05:43.097,How can I roast/heat all these foods for one meal?,cooking-time
6496,2018-12-25 00:05:43.097,How can I roast/heat all these foods for one meal?,ham
6497,2018-12-25 01:44:32.583,,
6498,2018-12-25 13:00:17.520,,
6499,2018-12-25 14:16:09.147,How to warm ham and keep it moist,ham
6500,2018-12-25 17:40:26.480,,
6501,2018-12-25 19:50:25.680,,
6502,2018-12-25 19:58:53.230,Alternative to salt when using Mortar and Pestle,salt
6502,2018-12-25 19:58:53.230,Alternative to salt when using Mortar and Pestle,mortar-and-pestle
6503,2018-12-25 20:26:50.477,,
6504,2018-12-25 20:58:43.797,Is food safe to eat with grey or black residue on it?,cookware
6505,2018-12-25 21:10:10.797,,
6506,2018-12-26 02:00:19.367,,
6507,2018-12-26 04:28:09.427,,
6508,2018-12-26 13:36:08.660,,
6509,2018-12-26 14:15:28.897,"High powered blenders (e.g. KitchenAid, 1800watts, 3.5 HP peak)",equipment
6510,2018-12-26 14:35:48.387,,
6511,2018-12-26 14:48:36.617,,
6512,2018-12-26 14:55:20.287,Lemon peel thickness,lemon
6512,2018-12-26 14:55:20.287,Lemon peel thickness,citrus
6513,2018-12-26 16:16:27.900,,
6514,2018-12-26 16:49:17.073,,
6515,2018-12-26 19:15:11.070,Leaving raw chicken uncovered for a day,food-safety
6515,2018-12-26 19:15:11.070,Leaving raw chicken uncovered for a day,chicken
6515,2018-12-26 19:15:11.070,Leaving raw chicken uncovered for a day,storage
6515,2018-12-26 19:15:11.070,Leaving raw chicken uncovered for a day,raw
6516,2018-12-26 19:32:43.087,What makes a pavlova empty inside?,dessert
6517,2018-12-26 23:39:30.200,,
6518,2018-12-27 00:00:49.663,,
6519,2018-12-27 00:06:04.943,,
6520,2018-12-27 01:07:58.080,,
6521,2018-12-27 01:09:23.217,,
6522,2018-12-27 03:57:05.277,,
6523,2018-12-27 04:46:35.343,,
6524,2018-12-27 06:15:34.750,Will apricot Jam glaze affect the shelf life of Christmas fruitcake?,cake
6524,2018-12-27 06:15:34.750,Will apricot Jam glaze affect the shelf life of Christmas fruitcake?,storage-lifetime
6524,2018-12-27 06:15:34.750,Will apricot Jam glaze affect the shelf life of Christmas fruitcake?,glaze
6525,2018-12-27 06:20:45.277,,
6526,2018-12-27 08:29:29.370,Popcorn with truffle oil/salt,mold
6526,2018-12-27 08:29:29.370,Popcorn with truffle oil/salt,popcorn
6527,2018-12-27 08:57:49.150,What to look for in a thermometer for bread making?,bread
6527,2018-12-27 08:57:49.150,What to look for in a thermometer for bread making?,thermometer
6528,2018-12-27 09:31:19.170,,
6529,2018-12-27 09:34:06.440,Beef Bourguignon Vs Daube Provencal,beef
6529,2018-12-27 09:34:06.440,Beef Bourguignon Vs Daube Provencal,soup
6529,2018-12-27 09:34:06.440,Beef Bourguignon Vs Daube Provencal,garlic
6529,2018-12-27 09:34:06.440,Beef Bourguignon Vs Daube Provencal,stews
6530,2018-12-27 11:14:00.453,,
6531,2018-12-27 11:29:08.747,,
6532,2018-12-27 12:36:47.223,,
6533,2018-12-27 15:41:35.490,I poured simple syrup over cooked apples. Why did it turn watery?,syrup
6534,2018-12-27 16:23:29.873,,
6535,2018-12-27 16:36:14.040,,
6536,2018-12-27 18:11:40.163,,
6537,2018-12-27 19:47:04.727,Why does plastic never dry properly in a dishwasher?,equipment
6537,2018-12-27 19:47:04.727,Why does plastic never dry properly in a dishwasher?,cleaning
6537,2018-12-27 19:47:04.727,Why does plastic never dry properly in a dishwasher?,dishwasher
6538,2018-12-27 20:07:38.207,,
6539,2018-12-27 20:25:38.007,,
6540,2018-12-27 20:29:54.453,,
6541,2018-12-27 21:09:05.977,,
6542,2018-12-27 21:24:46.223,,
6543,2018-12-27 22:14:51.283,,
6544,2018-12-27 22:21:54.980,,
6545,2018-12-27 22:54:57.593,,
6546,2018-12-28 11:28:07.087,Is it useful to retain the myoglobin of meat which has collected as a fluid at the bottom of the container?,food-safety
6546,2018-12-28 11:28:07.087,Is it useful to retain the myoglobin of meat which has collected as a fluid at the bottom of the container?,meat
6546,2018-12-28 11:28:07.087,Is it useful to retain the myoglobin of meat which has collected as a fluid at the bottom of the container?,indian-cuisine
6547,2018-12-28 11:56:01.497,,
6548,2018-12-28 13:47:49.810,How to detect if meat (or any product) is not safe to be prepared as food?,food-safety
6548,2018-12-28 13:47:49.810,How to detect if meat (or any product) is not safe to be prepared as food?,meat
6548,2018-12-28 13:47:49.810,How to detect if meat (or any product) is not safe to be prepared as food?,storage
6549,2018-12-28 14:00:07.347,,
6550,2018-12-28 15:56:42.867,,
6551,2018-12-28 16:00:27.737,Should pizza be firm enough to be held by the crust?,pizza
6552,2018-12-28 16:54:18.943,,
6553,2018-12-28 17:12:15.943,,
6554,2018-12-28 17:13:01.293,,
6555,2018-12-28 18:27:03.907,,
6556,2018-12-28 19:58:13.653,,
6557,2018-12-28 21:06:07.113,,
6558,2018-12-29 02:38:57.617,Does Simmering peppers in oil bring out more flavor?,spicy-hot
6558,2018-12-29 02:38:57.617,Does Simmering peppers in oil bring out more flavor?,hot-sauce
6558,2018-12-29 02:38:57.617,Does Simmering peppers in oil bring out more flavor?,infusion
6559,2018-12-29 03:58:01.250,,
6560,2018-12-29 14:09:49.050,How to counteract sage (in a pumpkin soup)?,spices
6560,2018-12-29 14:09:49.050,How to counteract sage (in a pumpkin soup)?,soup
6561,2018-12-29 15:14:46.700,,
6562,2018-12-29 18:21:18.873,,
6563,2018-12-29 18:31:23.737,,
6564,2018-12-29 19:39:21.317,Reheat only a few pieces of meat pie,meat
6564,2018-12-29 19:39:21.317,Reheat only a few pieces of meat pie,pie
6564,2018-12-29 19:39:21.317,Reheat only a few pieces of meat pie,reheating
6565,2018-12-29 21:02:28.673,,
6566,2018-12-29 22:03:16.790,Japanese Cotton Sponge Cake - How to stop collapsing?,cake
6566,2018-12-29 22:03:16.790,Japanese Cotton Sponge Cake - How to stop collapsing?,japanese-cuisine
6566,2018-12-29 22:03:16.790,Japanese Cotton Sponge Cake - How to stop collapsing?,sponge-cake
6567,2018-12-29 23:13:45.100,,
6568,2018-12-30 02:03:48.523,,
6569,2018-12-30 02:10:46.337,,
6570,2018-12-30 10:38:06.293,How to use a preferment / poolish? Cake vs ADY?,baking
6570,2018-12-30 10:38:06.293,How to use a preferment / poolish? Cake vs ADY?,bread
6571,2018-12-30 11:40:13.787,,
6572,2018-12-30 16:09:27.350,Can fresh citrus juice be reduced to concentrate flavor?,baking
6572,2018-12-30 16:09:27.350,Can fresh citrus juice be reduced to concentrate flavor?,fruit
6572,2018-12-30 16:09:27.350,Can fresh citrus juice be reduced to concentrate flavor?,citrus
6573,2018-12-30 17:11:42.807,,
6574,2018-12-30 17:29:21.170,,
6575,2018-12-30 18:21:47.280,,
6576,2018-12-30 22:13:27.547,,
6577,2018-12-30 22:37:00.063,,
6578,2018-12-30 23:31:43.583,How to make rolls airier and crustier?,baking
6578,2018-12-30 23:31:43.583,How to make rolls airier and crustier?,bread
6579,2018-12-31 00:36:26.693,,
6580,2018-12-31 01:36:37.287,,
6581,2018-12-31 03:52:10.530,,
6582,2018-12-31 07:05:07.617,How much gypsum is required to coagulate one litre/gallon of soy milk,tofu
6583,2018-12-31 12:27:22.557,,
6584,2018-12-31 13:09:15.913,,
6585,2018-12-31 14:07:30.727,"I overseasoned my food, what can I do to remove the strong smell?",aroma
6586,2018-12-31 14:07:30.727,,
6587,2018-12-31 14:09:59.520,,
6588,2018-12-31 16:03:05.400,What are bologna and hotdogs really made of?,hot-dog
6589,2018-12-31 16:17:12.910,,
6590,2018-12-31 17:18:52.210,,
6591,2018-12-31 23:11:08.620,,
6592,2019-01-01 16:10:39.047,Should sharpening nicked knives with whetstones leave the nicks in the blade?,equipment
6592,2019-01-01 16:10:39.047,Should sharpening nicked knives with whetstones leave the nicks in the blade?,knives
6592,2019-01-01 16:10:39.047,Should sharpening nicked knives with whetstones leave the nicks in the blade?,sharpening
6593,2019-01-01 16:54:00.043,How do I work out the use-by dates for my own cooking?,food-safety
6593,2019-01-01 16:54:00.043,How do I work out the use-by dates for my own cooking?,food-preservation
6594,2019-01-01 18:25:17.700,Peanut Butter Fudge,fudge
6595,2019-01-01 19:19:55.623,,
6596,2019-01-01 20:17:46.933,,
6597,2019-01-01 23:38:13.487,What is this bread making technique called?,baking
6597,2019-01-01 23:38:13.487,What is this bread making technique called?,bread
6598,2019-01-01 23:52:55.153,,
6599,2019-01-02 02:20:31.847,How to minimise exposure to systemic pesticides while eating non-organic fruits and vegetables?,food-safety
6599,2019-01-02 02:20:31.847,How to minimise exposure to systemic pesticides while eating non-organic fruits and vegetables?,organic
6600,2019-01-02 03:26:29.373,,
6601,2019-01-02 06:17:13.410,Irish Cream Manufacturing,cream
6601,2019-01-02 06:17:13.410,Irish Cream Manufacturing,alcohol
6601,2019-01-02 06:17:13.410,Irish Cream Manufacturing,mixing
6601,2019-01-02 06:17:13.410,Irish Cream Manufacturing,liqueur
6602,2019-01-02 06:22:43.187,How to cook dried red beans faster?,cooking-time
6602,2019-01-02 06:22:43.187,How to cook dried red beans faster?,beans
6603,2019-01-02 07:15:58.587,How to make syrups shelf stable?,syrup
6603,2019-01-02 07:15:58.587,How to make syrups shelf stable?,cocktails
6604,2019-01-02 08:05:29.023,,
6605,2019-01-02 08:11:17.147,,
6606,2019-01-02 11:00:17.387,,
6607,2019-01-02 11:20:36.980,,
6608,2019-01-02 11:44:40.860,,
6609,2019-01-02 12:26:15.297,,
6610,2019-01-02 15:03:52.640,,
6611,2019-01-02 15:15:32.483,,
6612,2019-01-02 15:22:58.313,I used olive oil to finish my salad serving utensils - now what?,food-safety
6612,2019-01-02 15:22:58.313,I used olive oil to finish my salad serving utensils - now what?,oil
6612,2019-01-02 15:22:58.313,I used olive oil to finish my salad serving utensils - now what?,olive-oil
6612,2019-01-02 15:22:58.313,I used olive oil to finish my salad serving utensils - now what?,wood
6613,2019-01-02 15:40:15.860,,
6614,2019-01-02 15:44:05.083,,
6615,2019-01-02 15:47:35.367,,
6616,2019-01-02 16:08:41.537,,
6617,2019-01-02 17:20:34.723,,
6618,2019-01-02 17:20:49.043,,
6619,2019-01-02 17:37:34.057,Which pasta should be used for what sauce?,pasta
6619,2019-01-02 17:37:34.057,Which pasta should be used for what sauce?,italian-cuisine
6620,2019-01-02 18:15:57.877,,
6621,2019-01-02 20:00:18.933,,
6622,2019-01-02 20:01:23.543,What would you call this cut of pork?,pork
6622,2019-01-02 20:01:23.543,What would you call this cut of pork?,food-identification
6622,2019-01-02 20:01:23.543,What would you call this cut of pork?,cut-of-meat
6623,2019-01-02 22:31:57.130,Where can I find nut-free chocolate in the EU?,chocolate
6623,2019-01-02 22:31:57.130,Where can I find nut-free chocolate in the EU?,shopping
6624,2019-01-02 22:36:30.023,How do I create a meat like bite resistance/snap and texture in Vegan sausages?,vegan
6624,2019-01-02 22:36:30.023,How do I create a meat like bite resistance/snap and texture in Vegan sausages?,sausages
6625,2019-01-02 22:41:55.267,,
6626,2019-01-02 23:13:10.087,Scalloped potatoes and oven fried pork copsihave scl,baking
6627,2019-01-02 23:32:17.537,,
6628,2019-01-02 23:57:54.300,,
6629,2019-01-03 03:20:47.373,,
6630,2019-01-03 05:02:21.597,Which product for white chapatis?,wheat
6630,2019-01-03 05:02:21.597,Which product for white chapatis?,wholewheat
6631,2019-01-03 05:26:56.087,,
6632,2019-01-03 05:43:25.587,,
6633,2019-01-03 09:23:59.137,,
6634,2019-01-03 10:01:48.970,,
6635,2019-01-03 13:06:13.257,,
6636,2019-01-03 13:28:46.130,Converting a recipe from 6qt Instant Pot to 8qt,pressure-cooker
6636,2019-01-03 13:28:46.130,Converting a recipe from 6qt Instant Pot to 8qt,conversion
6636,2019-01-03 13:28:46.130,Converting a recipe from 6qt Instant Pot to 8qt,instant-pot
6637,2019-01-03 13:42:44.650,,
6638,2019-01-03 13:44:30.900,,
6639,2019-01-03 14:29:29.583,What caused my electric deep fryer to overcook violently?,frying
6639,2019-01-03 14:29:29.583,What caused my electric deep fryer to overcook violently?,deep-frying
6639,2019-01-03 14:29:29.583,What caused my electric deep fryer to overcook violently?,fryer
6640,2019-01-03 15:25:38.763,How to make bun with my oven,baking
6641,2019-01-03 18:16:28.100,Rough guidelines for oven temperatures,temperature
6641,2019-01-03 18:16:28.100,Rough guidelines for oven temperatures,oven
6641,2019-01-03 18:16:28.100,Rough guidelines for oven temperatures,cooking-time
6642,2019-01-03 18:58:04.717,,
6643,2019-01-03 19:00:22.423,Must I store uncooked pasta in an airtight container?,storage-method
6643,2019-01-03 19:00:22.423,Must I store uncooked pasta in an airtight container?,pasta
6643,2019-01-03 19:00:22.423,Must I store uncooked pasta in an airtight container?,storage
6644,2019-01-03 19:16:38.213,,
6645,2019-01-03 19:17:09.680,,
6646,2019-01-03 19:19:54.223,,
6647,2019-01-03 19:24:43.130,,
6648,2019-01-03 19:53:15.153,,
6649,2019-01-03 19:55:51.057,,
6650,2019-01-03 20:06:06.227,the oil I put in cake mix is old,baking
6650,2019-01-03 20:06:06.227,the oil I put in cake mix is old,cake
6651,2019-01-03 20:18:33.477,,
6652,2019-01-03 21:05:38.510,,
6653,2019-01-03 21:16:39.480,,
6654,2019-01-03 23:29:20.573,,
6655,2019-01-04 00:03:58.513,,
6656,2019-01-04 01:35:45.630,,
6657,2019-01-04 05:40:46.977,,
6658,2019-01-04 09:03:23.703,Food Rancidity Question,food-safety
6658,2019-01-04 09:03:23.703,Food Rancidity Question,food-science
6658,2019-01-04 09:03:23.703,Food Rancidity Question,oil
6658,2019-01-04 09:03:23.703,Food Rancidity Question,olive-oil
6659,2019-01-04 09:41:00.733,Why do frozen vegetables go bad more quickly after thawing than fresh cut ones?,food-safety
6659,2019-01-04 09:41:00.733,Why do frozen vegetables go bad more quickly after thawing than fresh cut ones?,food-science
6660,2019-01-04 10:24:41.153,,
6661,2019-01-04 10:54:41.247,,
6662,2019-01-04 11:03:26.257,,
6663,2019-01-04 11:38:06.340,,
6664,2019-01-04 14:21:54.670,,
6665,2019-01-04 15:15:36.817,,
6666,2019-01-04 15:27:58.900,Is it redundant to add umami to tomato-based sauces?,seasoning
6667,2019-01-04 16:34:50.997,,
6668,2019-01-04 16:36:01.500,,
6669,2019-01-04 17:33:13.873,,
6670,2019-01-04 18:50:26.243,,
6671,2019-01-04 18:52:48.303,,
6672,2019-01-04 18:54:46.893,,
6673,2019-01-04 19:32:24.523,How to spread dried blueberries evenly when using bread machine?,bread
6673,2019-01-04 19:32:24.523,How to spread dried blueberries evenly when using bread machine?,dough
6673,2019-01-04 19:32:24.523,How to spread dried blueberries evenly when using bread machine?,mixing
